#NAME,Parasites,infection,sex,wt,gfood_gbodywt,feces_drywt,Rat,Trial,urine,intake_dm,tot_ox,ox_perg,ox_group,month,gdna conc,gut_region,kit
Rodolfo-007-FCV517-D4-515-806,Uninfected,no,M,173.2,0.107,5.181333333,CV517,reg,11.5,18.43357333,0.2765036,0.001596441,0,oct,66.7,feces,MD1
Rodolfo-008-FCV518-D4-515-806,Uninfected,no,F,120.9,0.111,4.902666667,CV518,reg,7,15.05496667,0.2258245,0.001867862,0,oct,38.7,feces,MD1
Rodolfo-009-FCV519-D4-515-806,Uninfected,no,M,169.7,0.109,6.277333333,CV519,reg,12,19.22014333,0.28830215,0.001698893,0,oct,73.8,feces,MD2
Rodolfo-010-FCV560-D4-515-806,Coinfection,yes,M,166.8,0.101,5.217666667,CV560,reg,12,17.87901333,0.2681852,0.001607825,0,oct,111,feces,MD2
Rodolfo-011-FCV562-D4-515-806,Uninfected,no,F,166.4,0.104,5.179666667,CV562,reg,11.33333333,17.41824,0.2612736,0.001570154,0,oct,73.2,feces,MD2
Rodolfo-012-FCV563-D4-515-806 ,Uninfected,no,F,138.2,0.12,4.850666667,CV563,reg,9,16.47408,0.2471112,0.001788069,0,oct,122,feces,MD2
Rodolfo-013-FCV566-D4-515-806,Nematode,yes,F,126.7,0.111,3.773666667,CV566,reg,7.5,14.73805667,0.22107085,0.001744837,0,oct,102,feces,MD2
Rodolfo-014-FCV567-D4-515-806,Coccidian,yes,F,122.9,0.14,4.245,CV567,reg,6,15.40503,0.23107545,0.001880191,0,oct,48,feces,MD2
Rodolfo-015-FCV569-D4-515-806,Uninfected,no,M,187.1,0.091,6.589,CV569,reg,11.83333333,19.84690333,0.29770355,0.001591147,0,oct,50.7,feces,MD2
Rodolfo-016-FCV570-D4-515-806,Coccidian,yes,M,182.9,0.106,6.241666667,CV570,reg,14.66666667,20.44585333,0.3066878,0.001676806,0,oct,48.1,feces,MD2
Rodolfo-017-FCV573-D4-515-806,Uninfected,no,M,184.9,0.113,5.344,CV573,reg,12.66666667,20.60057,0.30900855,0.00167122,0,oct,58.2,feces,MD2
Rodolfo-018-FCV574-D4-515-806,Uninfected,no,F,125.8,0.118,4.602333333,CV574,reg,7.666666667,16.48983,0.24734745,0.001966196,0,oct,88.8,feces,MD2
Rodolfo-019-FCV576-D4-515-806,Uninfected,no,F,176,0.094,4.088666667,CV576,reg,10.33333333,16.45606667,0.246841,0.001402506,0,oct,84.7,feces,MD2
Rodolfo-020-FCV579-D4-515-806,Uninfected,no,F,113.71,0.099,2.440333333,CV579,reg,13.5,9.908223333,0.14862335,0.001307039,0,oct,104,feces,MD2
Rodolfo-021-FCV581-D4-515-806 ,Coccidian,yes,F,169.6,0.08,4.345,CV581,reg,10.33333333,16.70286333,0.25054295,0.001477258,0,oct,121,feces,MD2
Rodolfo-022-FCV591-D4-515-806,Uninfected,no,M,196.1,0.081,6.874666667,CV591,reg,11.83333333,20.92826333,0.31392395,0.001600836,0,oct,79.2,feces,MD2
Rodolfo-023-FCV593-D4-515-806,Uninfected,no,M,190.4,0.103,4.513333333,CV593,reg,11.66666667,19.82629667,0.29739445,0.001561946,0,oct,77.1,feces,MD2
Rodolfo-024-FCV597-D4-515-806 ,Nematode,yes,F,151.6,0.123,4.079666667,CV597,reg,10.66666667,16.67507667,0.25012615,0.001649909,0,oct,51.5,feces,MD2
Rodolfo-025-FCV503-2-D6-515-806,Uninfected,no,F,126.045,0.068810584,1.36,CV503,spike,18,8.67323,0.73722455,0.0058489,2,octspike,83.9,feces,MD3
Rodolfo-026-FCV505-2-D6-515-806,Uninfected,no,F,147.075,0.077339657,3.275,CV505,spike,16.25,11.37473,1.137473,0.007733966,1,octspike,28.9,feces,MD3
Rodolfo-027-FCV507-2-D6-515-806,Nematode,yes,M,188.965,0.084852592,4.2115,CV507,spike,42.5,16.03417,1.603417,0.008485259,1,octspike,45.8,feces,MD3
Rodolfo-028-FCV511-2-D6-515-806,Nematode,yes,F,96.6,0.114701605,2.297,CV511,spike,19,11.080175,1.1080175,0.01147016,1,octspike,94.1,feces,MD3
Rodolfo-029-FCV513-2-D6-515-806,Uninfected,no,F,131.65,0.100080365,3.009,CV513,spike,25,13.17558,1.317558,0.010008036,1,octspike,97.9,feces,MD3
Rodolfo-030-FCV517-2-D6-515-806,Uninfected,no,M,168.1,0.084480012,3.7775,CV517,spike,20,14.20109,1.20709265,0.007180801,2,octspike,96.1,feces,MD3
Rodolfo-031-FCV518-2-D6-515-806,Uninfected,no,F,117.335,0.090801977,3.36,CV518,spike,18,10.65425,0.90561125,0.007718168,2,octspike,42.5,feces,MD3
Rodolfo-032-FCV519-2-D6-515-806,Uninfected,no,M,163.82,0.086040654,3.645,CV519,spike,27,14.09518,1.1980903,0.007313456,2,octspike,71.7,feces,MD3
Rodolfo-033-FCV560-2-D6-515-806,Coinfection,yes,M,161.77,0.074094733,2.0995,CV560,spike,18.75,11.986305,1.018835925,0.006298052,2,octspike,131,feces,MD3
Rodolfo-034-FCV562-2-D6-515-806,Uninfected,no,F,166.815,0.082683841,2.477,CV562,spike,27.75,13.792905,1.172396925,0.007028127,2,octspike,47.8,feces,MD3
Rodolfo-035-FCV563-2-D6-515-806,Uninfected,no,F,133.605,0.101809289,3.157,CV563,spike,22,13.60223,1.15618955,0.00865379,2,octspike,56.5,feces,MD3
Rodolfo-036-FCV566-2-D6-515-806,Nematode,yes,F,124.335,0.081311296,2.133,CV566,spike,13.5,10.10984,0.8593364,0.00691146,2,octspike,92.2,feces,MD3
